start_time;max_capacity;green in total(seconds)
2015-07-10 18:00:00.305000+03:00 54.25375 130.209
2015-07-10 18:05:00.305000+03:00 87.2045833333 209.291
2015-07-10 18:10:00.305000+03:00 61.8404166667 148.417
2015-07-10 18:15:00.305000+03:00 88.25375 211.809
2015-07-10 18:20:00.305000+03:00 64.0870833333 153.809
2015-07-10 18:25:00.305000+03:00 66.0008333333 158.402
2015-07-10 18:30:00.305000+03:00 55.0858333333 132.206
2015-07-10 18:35:00.305000+03:00 69.2516666667 166.204
2015-07-10 18:40:00.305000+03:00 58.38375 140.121
2015-07-10 18:45:00.305000+03:00 44.1333333333 105.92
2015-07-10 18:50:00.305000+03:00 50.0541666667 120.13
2015-07-10 18:55:00.305000+03:00 51.5033333333 123.608
