start_time;max_capacity;green in total(seconds)
2015-07-10 13:00:00.405000+03:00 459.98375 1103.961
2015-07-10 13:30:00.405000+03:00 461.539166667 1107.694
2015-07-10 14:00:00.405000+03:00 456.91 1096.584
2015-07-10 14:30:00.405000+03:00 462.592916667 1110.223
2015-07-10 15:00:00.405000+03:00 447.145833333 1073.15
2015-07-10 15:30:00.405000+03:00 452.70875 1086.501
2015-07-10 16:00:00.405000+03:00 466.4375 1119.45
2015-07-10 16:30:00.405000+03:00 484.922083333 1163.813
2015-07-10 17:00:00.405000+03:00 477.749583333 1146.599
2015-07-10 17:30:00.405000+03:00 492.90375 1182.969
2015-07-10 18:00:00.405000+03:00 500.007916667 1200.019
